Year,Month,DAY,TEM,DPT,WIS,HUM,SLP,TRAN,ARAN,RAN
1964,1,31,19.6,13.3,4.4,71.52,1014.6,3,0.1,NRT
1964,2,29,22.3,14.5,4.7,71.03,1013,3,0.1,NRT
1964,3,31,26.5,21.4,6.1,78.06,1010.9,0,0,NRT
1964,4,30,27.4,22.5,10.5,80.7,1007.7,198,6.6,LTR
1964,5,31,28.3,24,6.2,79.97,1004.6,195,6.29,LTR
1964,6,30,27.7,24.1,9.2,85.83,1001.7,419,13.97,MHR
1964,7,31,26.8,24.7,8.8,88.74,1004.1,1077,34.74,MHR
1964,8,31,27.5,24.9,8.9,87.23,1001.4,623,20.1,MHR
1964,9,30,28.1,24.1,6,84.83,1004.5,266,8.87,LTR
1964,10,31,27.1,24.1,5.4,85.42,1007.6,268,8.65,LTR
1964,11,30,24.7,19.6,3.9,79.2,1011.2,19,0.63,NRT
1964,12,31,20.9,15.5,3.2,74.84,1014.3,0,0,NRT
1965,1,31,19.7,13.5,3.3,72.35,1014.8,0,0,NRT
1965,2,28,21.2,13.5,3.8,71.93,1011.5,71,2.54,LTR
1965,3,31,24.4,18.2,4.6,73.39,1011.1,31,1,LTR
1965,4,30,27.5,22.1,8.4,78.33,1008.2,5,0.17,NRT
1965,5,31,28.6,24.5,8.9,80.48,1004.4,190,6.13,LTR
1965,6,30,27.3,24.1,10.2,88,1000.6,614,20.47,MHR
1965,7,31,27,24.3,8.8,86.81,1001.8,971,31.32,MHR
1965,8,31,26.6,24.6,7.5,89.58,1004.4,625,20.16,MHR
1965,9,30,27.6,23.6,6.4,84.2,1005.6,223,7.43,LTR
1965,10,31,27.1,23.8,4.3,83.55,1009.5,152,4.9,LTR
1965,11,30,24.3,19.1,3.3,78.87,1013.1,0,0,NRT
1965,12,31,21.1,12.8,0,80.3,1013.5,0,0,NRT
1966,1,31,20,14.8,3.3,75.65,1014.9,0,0,NRT
1966,2,28,22.5,15.4,5.4,76.32,1012.4,0,0,NRT
1966,3,31,25.3,19.9,6.1,76.13,1008.9,28,0.9,NRT
1966,4,30,28.5,15,8.4,76.07,1007.8,0,0,NRT
1966,5,31,29.6,25.3,7.4,80.39,988,174,5.61,LTR
1966,6,30,26.8,24,12.5,89.53,1002,531,17.7,MHR
1966,7,31,27.9,24.8,8.5,85.1,1001.5,224,7.23,LTR
1966,8,31,27.1,24.9,8.9,88.68,1002.8,606,19.55,MHR
1966,9,30,27.5,23.4,6.5,84.2,1005.5,403,13.43,MHR
1966,10,31,26.7,23.4,4.9,84.55,1010,234,7.55,LTR
1966,11,30,25.1,19.3,3.6,76.8,1011.6,0,0,NRT
1966,12,31,20.1,15.6,4.7,78.13,1012.3,100,3.23,LTR
1967,1,31,20.8,15.5,3.9,78.03,981.7,16,0.52,NRT
1967,2,28,22.2,15.6,5.2,78.39,1012.1,0,0,NRT
1967,3,31,25.1,19.7,7.2,75.81,1011,29,0.94,NRT
1967,4,30,27.2,21.3,8,77.27,1008.3,127,4.23,LTR
1967,5,31,28.8,24.2,8.2,78.68,1004.5,91,2.94,LTR
1967,6,30,28.3,24.4,8.5,84.93,1002.1,222,7.4,LTR
1967,7,31,27.8,24.9,9.6,85.16,1001.4,308,9.94,LTR
1967,8,31,27.4,24.6,9.8,85.68,1001,554,17.87,MHR
1967,9,30,27.2,23.6,8.3,85.73,1004.8,339,11.3,MHR
1967,10,31,26.7,22.7,4.8,81.32,1009.8,218,7.03,LTR
1967,11,30,22.5,16.3,3.4,74.5,1013.2,0,0,NRT
1967,12,31,20.5,15.3,3.7,75.84,1015.2,0,0,NRT
1968,1,31,19.2,12.9,6.6,71.68,1014,7,0.23,NRT
1968,2,29,21.4,13.9,6.2,71.66,1009.2,11,0.38,NRT
1968,3,31,25.1,18.4,5.9,72,1011.1,58,1.87,LTR
1968,4,30,27.7,21.9,8.6,76.93,1009.4,10,0.33,NRT
1968,5,31,28,23.5,9.5,78.68,1005.1,363,11.71,MHR
1968,6,30,27.1,23.3,10.7,85.5,1001.9,585,19.5,MHR
1968,7,31,27.8,24.7,9.1,84.65,1001.5,1095,35.32,MHR
1968,8,31,27.3,24.7,8.4,86.55,1001.5,363,11.71,MHR
1968,9,30,28.1,23.8,5.2,82.63,1005.9,101,3.37,LTR
1968,10,31,26.8,23.1,4.2,82.19,1010.3,90,2.9,LTR
1968,11,30,24.2,18.3,3.8,75.73,1014,0,0,NRT
1968,12,31,20.7,12.8,3.7,78.64,1013.4,0,0,NRT
1969,1,31,18.8,12.2,4.4,70.26,1012.8,21,0.68,NRT
1969,2,28,22.1,12.8,4.2,67.5,1012.6,0,0,NRT
1969,3,31,25.7,20.6,4.8,77.16,1010.6,120,3.87,LTR
1969,4,30,27.7,22.7,7.6,80.2,1009,251,8.37,LTR
1969,5,31,29,20.5,9.5,79.26,1004.5,0,0,NRT
1969,6,30,27.7,24.3,9,86.8,1001.4,677,22.57,MHR
1969,7,31,27.6,25,8.9,87,1000.9,684,22.06,MHR
1969,8,31,27,24.8,7.7,88.87,1004.2,715,23.06,MHR
1969,9,30,28,23.9,4.5,83.73,1004.9,257,8.57,LTR
1969,10,31,27,22.8,3.1,80.58,1009.9,30,0.97,NRT
1969,11,30,23.8,18.1,2.6,77.17,1012.7,33,1.1,LTR
1969,12,31,20.3,15,2.8,75.77,1014.9,0,0,NRT
1970,1,31,19.1,12.7,3.8,70.97,1015,1,0.03,NRT
1970,2,28,22.1,13.9,4.2,71,1013.9,20,0.71,NRT
1970,3,31,26,20.7,6.9,76.23,1010.2,2,0.06,NRT
1970,4,30,28,22.7,8.4,78.73,1009.4,40,1.33,LTR
1970,5,31,28.7,24.5,8.7,80.1,1004.8,158,5.1,LTR
1970,6,30,28,24.4,7.7,86.2,1002.7,313,10.43,MHR
1970,7,31,27.4,25.3,8.7,89.13,1001.4,1041,33.58,MHR
1970,8,31,27.5,24.9,6.4,86.77,1003.3,405,13.06,MHR
1970,9,30,27.6,23.9,5.4,85.53,1004.9,317,10.57,MHR
1970,10,31,26.8,23.8,5,85.58,1008,380,12.26,MHR
1970,11,30,23.4,18.6,3.4,80.2,1011.8,151,5.03,LTR
1970,12,31,20.1,14.7,3.8,74.94,1013.2,0,0,NRT
1971,1,31,19.8,14.3,2.8,74.9,1013.7,10,0.32,NRT
1971,2,28,21.5,12.5,4,67.29,1011.8,0,0,NRT
1971,3,31,24.5,16.5,4.3,65.8,1011.1,0,0,NRT
1971,4,30,28.1,20.3,4.6,70.79,1008.9,2,0.07,NRT
1971,5,31,28.8,23.4,6.4,75.16,1005.5,63,2.03,LTR
1971,6,30,27.7,23.9,8.5,85.7,1000.7,853,28.43,MHR
1971,7,31,27.1,24.8,8.3,88.13,1001.3,949,30.61,MHR
1971,8,31,26.9,24.4,7.5,87.39,1003.7,707,22.81,MHR
1971,9,30,28.4,23.8,6,81.9,1005.5,184,6.13,LTR
1971,10,31,27.9,23.7,4,79.94,1009.6,59,1.9,LTR
1971,11,30,24.3,12.4,3.4,83.79,1010,0,0,NRT
1971,12,31,21.6,15.2,3.4,69,1014,0,0,NRT
1972,1,31,20,9.1,2.8,75.98,1014.8,0,0,NRT
1972,2,29,20.6,12.6,4.4,68.41,1011.8,2,0.07,NRT
1972,3,31,25.2,19.7,5.9,76.13,1011.5,0,0,NRT
1972,4,30,27.3,22.1,10.2,78.8,1009.5,87,2.9,LTR
1972,5,31,29.1,24.5,11.3,78.42,1006,15,0.48,NRT
1972,6,30,28.2,24,8.3,83.7,1003.4,457,15.23,MHR
1972,7,31,28.2,25.4,10.7,85.81,1000.4,372,12,MHR
1972,8,31,26.8,24.6,9.2,88.65,1003.1,565,18.23,MHR
1972,9,30,28.7,19,6,80.2,1007,0,0,NRT
1972,10,31,27.2,23.2,4.4,81.06,1011.5,88,2.84,LTR
1972,11,30,24.7,18.8,4.1,76.1,1012.2,0,0,NRT
1972,12,31,20.8,15,3.9,73.68,1014.2,0,0,NRT
1973,1,31,20.5,13.5,4.2,69.84,1014.6,5,0.16,NRT
1973,2,28,22.8,14.1,5.2,69.64,1014.1,8,0.29,NRT
1973,3,31,25,17.3,6.5,69.06,1011.6,14,0.45,NRT
1973,4,30,28.4,23.2,10.7,78.9,1007.5,142,4.73,LTR
1973,5,31,27.7,24.1,7.6,82.48,1005.5,457,14.74,MHR
1973,6,30,28.1,24.7,7.4,87.33,1002.2,407,13.57,MHR
1973,7,31,27.9,25.2,10.2,86.61,1001.4,407,13.13,MHR
1973,8,31,27.4,24.8,7.3,86.71,1003.4,276,8.9,LTR
1973,9,30,27.4,24.1,5.7,87.27,1006.3,551,18.37,MHR
1973,10,31,27.4,24.1,4.3,84.06,1009.2,225,7.26,LTR
1973,11,30,24.1,20.1,4.3,84.17,1011.6,259,8.63,LTR
1973,12,31,19.8,15.7,4,80.03,1014.7,40,1.29,LTR
1974,1,31,19.1,13.5,3.5,74.1,1013.5,7,0.23,NRT
1974,2,28,21.1,12,4,67.04,1012.5,0,0,NRT
1974,3,31,24.7,19.8,6.5,78.16,1010.5,158,5.1,LTR
1974,4,30,27.4,22.6,9.6,80.57,1007.4,80,2.67,LTR
1974,5,31,27.8,23.9,10.5,81.26,1004.4,323,10.42,MHR
1974,6,30,27.3,23.8,10.5,86.13,1001.7,958,31.93,MHR
1974,7,31,26.4,24.9,12.1,91.81,1002.9,943,30.42,MHR
1974,8,31,27.2,25,11,88.52,1001.2,529,17.06,MHR
1974,9,30,27.5,23.9,6.8,85.43,1006.9,347,11.57,MHR
1974,10,31,27.9,24.4,4.8,82.87,1007.9,308,9.94,LTR
1974,11,30,25.4,20.9,4.3,81.77,1010.8,63,2.1,LTR
1974,12,31,19.7,14,4.6,73.16,1015,0,0,NRT
1975,1,31,19.3,12.8,5,70.68,1014.7,0,0,NRT
1975,2,28,21.9,13.8,5.6,70.86,1013.4,5,0.18,NRT
1975,3,31,26.2,19.5,6.1,71.77,1010.4,0,0,NRT
1975,4,30,28.2,22.6,12.1,77.4,1008,65,2.17,LTR
1975,5,31,28.2,24.1,10.8,80.52,1004.3,251,8.1,LTR
1975,6,30,28.2,23.9,10.3,83.23,1000.6,389,12.97,MHR
1975,7,31,26.6,24.5,11.5,89.23,1004.3,906,29.23,MHR
1975,8,31,27.8,24.8,9.9,84.81,1002.4,294,9.48,LTR
1975,9,30,27.5,23.7,8.1,85.23,1006.3,312,10.4,MHR
1975,10,31,27.3,24.4,5.4,85.32,1007.3,231,7.45,LTR
1975,11,30,23.3,19.1,4.7,82.23,1012.3,145,4.83,LTR
1975,12,31,19.4,14.3,4.6,76,1014.4,0,0,NRT
1976,1,31,19.5,13.5,4.7,72.71,1015.1,0,0,NRT
1976,2,29,22.2,15.2,6.1,73.52,1012.4,6,0.21,NRT
1976,3,31,26.2,21,9.5,76,1010,2,0.06,NRT
1976,4,30,28.5,22.4,12.6,75.83,1008.5,50,1.67,LTR
1976,5,31,28.6,23.9,10.1,78.35,1004.9,123,3.97,LTR
1976,6,30,27.1,23.8,10.9,87.4,1002.7,1041,34.7,MHR
1976,7,31,27.1,16.8,11.5,89.8,1001.3,0,0,NRT
1976,8,31,27.4,24.6,9.5,85.61,1004.8,377,12.16,MHR
1976,9,30,28.4,23.8,8,81.9,1006.3,96,3.2,LTR
1976,10,31,27.1,23.1,5.6,81.13,1009.5,163,5.26,LTR
1976,11,30,25.2,20,5.6,78.7,1011.4,251,8.37,LTR
1976,12,31,20.3,15,3.8,74.71,1014.5,10,0.32,NRT
1977,1,31,19.6,12.4,5.7,67.45,1014.8,0,0,NRT
1977,2,28,21.6,14.2,4.4,73.39,1014.8,71,2.54,LTR
1977,3,31,26.3,21.9,5.4,80.26,1013.4,0,0,NRT
1977,4,30,25.5,21.4,6.9,83.57,1009.9,418,13.93,MHR
1977,5,31,27.6,23.5,5.7,84,1007.6,271,8.74,LTR
1977,6,30,26.8,23.5,4.8,87.43,1005,430,14.33,MHR
1977,7,31,27.2,25,5.5,89.1,1002.5,715,23.06,MHR
1977,8,31,27.3,25,4.1,88.39,1004.7,328,10.58,MHR
1977,9,30,28,24,4.1,84.67,1007.1,92,3.07,LTR
1977,10,31,26.7,22.9,3.6,82.13,1013.3,124,4,LTR
1977,11,30,24.6,19.5,3.5,80.1,1014.6,35,1.17,LTR
1977,12,31,20.5,14.6,3.4,72.77,1016.3,0,0,NRT
1978,1,31,18.5,11.1,8.4,67.03,1015.8,0,0,NRT
1978,2,28,22,12.9,7,66.36,1015.3,0,0,NRT
1978,3,31,25.2,16.3,8.3,63.42,1010.9,2,0.06,NRT
1978,4,30,27.3,21.3,8.4,76.37,1008.9,48,1.6,LTR
1978,5,31,27.8,24,9.5,81.97,1004,369,11.9,MHR
1978,6,30,27.3,23.6,10.7,85.5,1002.3,811,27.03,MHR
1978,7,31,27.7,24.8,10.7,85.19,1003.3,277,8.94,LTR
1978,8,31,28.1,25.1,10.6,84.74,1001.2,425,13.71,MHR
1978,9,30,27.4,23.8,8.6,86.07,1005.6,381,12.7,MHR
1978,10,31,27.8,24.4,5.8,83.06,1009.5,192,6.19,LTR
1978,11,30,25,19.3,4.6,76.73,1013.4,0,0,NRT
1978,12,31,21.1,15.1,5.5,72.03,1015.8,0,0,NRT
1979,1,31,20.2,12.9,5.4,68.26,1015.4,1,0.03,NRT
1979,2,28,21.9,11.7,6.9,62.14,1013.4,2,0.07,NRT
1979,3,31,25,17.8,9.9,70.06,1010.7,1,0.03,NRT
1979,4,30,28.2,22.4,9.6,76.17,1008.4,43,1.43,LTR
1979,5,31,29.8,24.9,11.4,76.81,1006,213,6.87,LTR
1979,6,30,28.3,24,10.8,82.87,1002.2,653,21.77,MHR
1979,7,31,28.1,25,10.4,84.06,1003.7,446,14.39,MHR
1979,8,31,27.3,24.3,11.5,85.68,1001.9,920,29.68,MHR
1979,9,30,27.5,23.7,7.2,85.2,1006.9,425,14.17,MHR
1979,10,31,27.5,23.1,6.4,79.26,1011.9,59,1.9,LTR
1979,11,30,26.1,20.3,5.7,76.4,1012.6,52,1.73,LTR
1979,12,31,21.4,15.9,6.1,75.1,1015.7,36,1.16,LTR
1980,1,31,19.8,13.1,7.3,68.77,1014.5,0,0,NRT
1980,2,29,21.6,13.8,7.9,68.55,1013.6,28,0.97,NRT
1980,3,31,25.6,19.6,7.9,72.52,1011.4,52,1.68,LTR
1980,4,30,28.9,22.6,13.7,74,1008.1,46,1.53,LTR
1980,5,31,27.7,23.7,10.7,80.13,1006.2,456,14.71,MHR
1980,6,30,27.9,23.6,11.5,82.1,1002.8,517,17.23,MHR
1980,7,31,27.7,24.9,11.9,85.23,1002.3,627,20.23,MHR
1980,8,31,27.7,24.8,10.9,85.42,1003.4,702,22.65,MHR
1980,9,30,28.3,24.4,8,83.97,1006.6,229,7.63,LTR
1980,10,31,26.7,23.3,6.3,82.55,1010,275,8.87,LTR
1980,11,30,24.5,18.1,4.8,72.23,1013,0,0,NRT
1980,12,31,20.9,14.9,4.5,70.52,1013.7,0,0,NRT
1981,1,31,19.8,14,5.8,72.65,1015.6,15,0.48,NRT
1981,2,28,21.9,13,7,66.46,1013.5,2,0.07,NRT
1981,3,31,24.5,17.5,8.8,69.48,1012.5,129,4.16,LTR
1981,4,30,25.7,20.9,9.5,80.1,1009.3,279,9.3,LTR
1981,5,31,27.9,23.4,8.9,78.8,1006.2,341,11,MHR
1981,6,30,27.9,23.8,10.8,84.4,1001,364,12.13,MHR
1981,7,31,27.2,24.7,11.9,87.84,1002.5,825,26.61,MHR
1981,8,31,27.9,24.5,10.4,83.16,1001.7,343,11.06,MHR
1981,9,30,27.9,23.6,7.3,83.47,1007.3,150,5,LTR
1981,10,31,27.9,22.8,5.9,76.55,1009.2,20,0.65,NRT
1981,11,30,25.2,18.5,5.9,72.17,1011.1,1,0.03,NRT
1981,12,31,21.1,13.2,4.5,72.38,1015.8,0,0,NRT
1982,1,31,19.8,13.1,5.9,69.35,1015.5,0,0,NRT
1982,2,28,22.2,13.5,6.8,68.5,1013.2,7,0.25,NRT
1982,3,31,24.9,17.3,8.8,67.61,1011.3,53,1.71,LTR
1982,4,30,27.2,21.8,11.9,77.3,1009.1,143,4.77,LTR
1982,5,31,29.5,24,7.5,75.29,1006.9,44,1.42,LTR
1982,6,30,27.3,23.6,10.5,85.63,1001.8,746,24.87,MHR
1982,7,31,27.9,24.8,9.8,85.16,1002.1,475,15.32,MHR
1982,8,31,27.2,24.7,9.7,87.74,1001.8,797,25.71,MHR
1982,9,30,28,23.7,6.6,82.13,1006.3,401,13.37,MHR
1982,10,31,27.8,23.1,4.7,78.1,1011.2,5,0.16,NRT
1982,11,30,23.7,17.4,3.9,74.03,1013,43,1.43,LTR
1982,12,31,20.1,14.3,5.4,73.48,1015.3,1,0.03,NRT
1983,1,31,19.5,13.7,4.9,72.68,1016.4,5,0.16,NRT
1983,2,28,21.2,12.5,6,67.36,1014.2,44,1.57,LTR
1983,3,31,25.2,20.4,8.7,76.94,1011.5,79,2.55,LTR
1983,4,30,27.1,21.4,11.9,76.77,1008.9,219,7.3,LTR
1983,5,31,28,23.5,8.3,78.48,1007.2,222,7.16,LTR
1983,6,30,28.4,23.6,10.4,80.9,1003.7,609,20.3,MHR
1983,7,31,28.2,24.6,8.2,82.58,1003.7,812,26.19,MHR
1983,8,31,27.9,24.7,8.9,84.39,1003.8,1457,47,MHR
1983,9,30,28.3,23.9,7.4,82.67,1006.4,162,5.4,LTR
1983,10,31,27.1,23.5,6,82.55,1008.1,390,12.58,MHR
1983,11,30,25,20.3,4.3,80.97,1013.3,57,1.9,LTR
1983,12,31,20.2,14.5,3.9,73.45,1015.2,52,1.68,LTR
1984,1,31,19.3,13,4.7,71.55,1013.9,1,0.03,NRT
1984,2,29,21.3,12.7,6.7,66.24,1012.4,0,0,NRT
1984,3,31,24.9,19.4,7.4,74.52,1010.6,0,0,NRT
1984,4,30,27.5,21.9,10.3,77.57,1007.4,125,4.17,LTR
1984,5,31,27.8,24.1,13.3,82.23,1004.7,428,13.81,MHR
1984,6,30,27.7,23.8,13.1,85.37,999.3,595,19.83,MHR
1984,7,31,27.7,24.6,13.1,84.55,1003.1,802,25.87,MHR
1984,8,31,27.4,24.7,11.3,86.19,1001.9,326,10.52,MHR
1984,9,30,28,23.4,7.2,81.67,1007.3,175,5.83,LTR
1984,10,31,27.7,24,5.8,82.39,1009.5,122,3.94,LTR
1984,11,30,24.1,17.9,4.3,74.63,1013.6,0,0,NRT
1984,12,31,20.6,14.9,6.8,73.58,1013,2,0.06,NRT
1985,1,31,20.1,14,6.2,72.1,1015.1,17,0.55,NRT
1985,2,28,21.7,13.3,7.9,70.04,1009.6,6,0.21,NRT
1985,3,31,26,22,11.7,80.58,1010.2,88,2.84,LTR
1985,4,30,27.9,23.2,13.8,81,1006.5,143,4.77,LTR
1985,5,31,27.9,23.5,11.9,79.48,1004.6,511,16.48,MHR
1985,6,30,27.9,23.8,12.9,84.67,1000,517,17.23,MHR
1985,7,31,27,24.2,13.7,85.77,1004.1,1031,33.26,MHR
1985,8,31,27.9,24.7,12.6,84.94,1002.3,469,15.13,MHR
1985,9,30,28,23.6,7.6,82.73,1006.3,143,4.77,LTR
1985,10,31,27.7,22.9,6.1,77.61,1009.7,47,1.52,LTR
1985,11,30,23.6,17.7,4.6,75.33,1012.5,198,6.6,LTR
1985,12,31,21.5,16.1,5.4,74.9,1014.6,2,0.06,NRT
1986,1,31,19.9,14.3,4.8,73.61,1014.9,2,0.06,NRT
1986,2,28,22.7,13.1,6.2,65.75,1013.7,0,0,NRT
1986,3,31,26,19.1,7.6,70.03,1010.3,0,0,NRT
1986,4,30,27.8,21.9,13,76.53,1008.6,145,4.83,LTR
1986,5,31,28.5,23.4,8.5,77,1005.6,177,5.71,LTR
1986,6,30,28.5,24.2,11.7,83.23,1000.8,820,27.33,MHR
1986,7,31,27.9,24.6,12.1,84.13,1003.1,894,28.84,MHR
1986,8,31,28.4,25,8.3,83.84,1003,311,10.03,MHR
1986,9,30,27.8,23.7,7.4,83.7,1007.4,139,4.63,LTR
1986,10,31,27.2,23.2,6.1,81.16,1011.2,200,6.45,LTR
1986,11,30,24.6,18.9,6.1,76.87,1013.1,122,4.07,LTR
1986,12,31,21.4,15.5,6.4,73.1,1016.1,0,0,NRT
1987,1,31,20.2,14.2,5.9,72.39,1016.2,3,0.1,NRT
1987,2,28,22.4,14.3,6.5,71.25,1015.2,20,0.71,NRT
1987,3,31,25.4,19.8,7.3,74.45,1011.5,80,2.58,LTR
1987,4,30,27.3,22.4,12.1,79.73,1009.5,287,9.57,LTR
1987,5,31,29.2,24.2,9.8,76.84,1008.2,63,2.03,LTR
1987,6,30,28.8,23.9,12.2,81.04,1002.7,348,11.6,MHR
1987,7,31,27.3,25.1,12.4,88.81,1002.6,1206,38.9,MHR
1987,8,31,27.9,24.9,10.2,84.55,1003.6,673,21.71,MHR
1987,9,30,28.2,24.1,9.6,83.8,1007,429,14.3,MHR
1987,10,31,27.6,23.4,5.4,79.94,1010.8,35,1.13,LTR
1987,11,30,25.6,20.1,6,77.23,1011.5,49,1.63,LTR
1987,12,31,21.6,16.2,5.1,74.94,1015.7,17,0.55,NRT
1988,1,31,20.3,14.1,6.1,71.45,1014.4,0,0,NRT
1988,2,29,22.8,15.4,6.2,71.59,1012.5,11,0.38,NRT
1988,3,31,26.1,20,7,72.35,1009.5,35,1.13,LTR
1988,4,30,28.1,22,7.9,75.03,1009,182,6.07,LTR
1988,5,31,28.6,24.3,10.6,79.1,1004.7,433,13.97,MHR
1988,6,30,27.8,23.7,9.6,83.67,1002.4,643,21.43,MHR
1988,7,31,28.1,24.7,10.7,84.26,1003.6,632,20.39,MHR
1988,8,31,28,24.8,10.4,84.16,1004.1,413,13.32,MHR
1988,9,30,28.4,23.8,6.7,82.2,1006,329,10.97,MHR
1988,10,31,27.4,23.7,6.7,82.35,1007.7,342,11.03,MHR
1988,11,30,25.5,20,5.6,77.33,1012.3,72,2.4,LTR
1988,12,31,22.4,17.4,5.2,76.23,1015.4,1,0.03,NRT
1989,1,31,18.6,11.2,5.7,67.32,1013.8,0,0,NRT
1989,2,28,22.4,14.3,6.5,71.11,1012.9,2,0.07,NRT
1989,3,31,25.8,18.2,9,68.35,1010,0,0,NRT
1989,4,30,28,21.9,13.4,75.73,1007.5,220,7.33,LTR
1989,5,31,29.6,24.3,9.9,75.81,1004.6,82,2.65,LTR
1989,6,30,28.5,23.6,11.1,80.5,1003.2,277,9.23,LTR
1989,7,31,27.9,24.7,10.4,84.39,1003.5,1173,37.84,MHR
1989,8,31,28.3,24.2,8.6,80.77,1003.5,66,2.13,LTR
1989,9,30,28.1,23.7,5.9,82.93,1006.3,360,12,MHR
1989,10,31,26.4,23.6,5.9,85.94,1009.2,404,13.03,MHR
1989,11,30,23.6,17.4,3.4,74.3,1014.7,14,0.47,NRT
1989,12,31,20.1,14.4,4.2,73.87,1016.4,0,0,NRT
